model,seed,path,size_bytes,sha256,selection
vanilla_gru,26,models/vanilla_gru/seed_26/best_model.pth,2114485,5cfdd5d224f8b03c79fbc94e319c3bf3ea673f5b71e9c16ca6bb8dd62a3beb54,latest validation-selected best_model.pth
vanilla_lstm,26,models/vanilla_lstm/seed_26/best_model.pth,2087861,b94c4181592bc520ac8d9111d033943c25b18709a222cb3764e246346d4f9f57,latest validation-selected best_model.pth
pi_gru,26,models/pi_gru/seed_26/best_model.pth,2481463,6b5e31c816b7c52b7747703f283ff9db16f35f33f2cb98db353dc3289e922c7a,latest validation-selected best_model.pth
kalmannet,26,models/kalmannet/seed_26/best_model.pth,80459,13530745e76336f01233533a51e9076739df2428e9275d56953c6dc424f2d19f,validation-selected KalmanNet checkpoint
vanilla_gru,42,models/vanilla_gru/seed_42/best_model.pth,2111541,6ecc14ac998acb1b5ccf5f38ea325665b0cb0112b840cb69af029c82c5fa89c6,latest validation-selected best_model.pth
vanilla_lstm,42,models/vanilla_lstm/seed_42/best_model.pth,2090997,5745e6a762ff303cf1d6c6a1cf09ddaaf9f597b6b27f06c779bc02d18aa19e5f,latest validation-selected best_model.pth
pi_gru,42,models/pi_gru/seed_42/best_model.pth,2497335,73ba53f0d8966e658a51430c89251fd89d0443706efaf245d34d827de4b9d963,latest validation-selected best_model.pth
kalmannet,42,models/kalmannet/seed_42/best_model.pth,80459,2e11397b035f59a5d77b05e7422ab52e126f0cec7087d72aa93aee48e2f74e8c,validation-selected KalmanNet checkpoint
vanilla_gru,2024,models/vanilla_gru/seed_2024/best_model.pth,2122485,8c43ed1d314c89312f2fbd55407c495d1d34b033f8fa7647636ea0b6f707bd54,latest validation-selected best_model.pth
vanilla_lstm,2024,models/vanilla_lstm/seed_2024/best_model.pth,2090869,dcd180714921514f240f27f5768bbe4b2c6416b4de3555e63250c01e42b40936,latest validation-selected best_model.pth
pi_gru,2024,models/pi_gru/seed_2024/best_model.pth,2473335,0083e52d7157f61b0ebabee94ffc014b154a41175722e431fb34f0b1f966ad35,latest validation-selected best_model.pth
kalmannet,2024,models/kalmannet/seed_2024/best_model.pth,80487,5513f756cc5feefd0ad82771829fe55441d0b403ff99ad541d7e20d50abce80c,validation-selected KalmanNet checkpoint
vanilla_gru,2025,models/vanilla_gru/seed_2025/best_model.pth,2116661,cfbeec30fafbf66cbf5958b4068d61f5ba83b834a65fa9548a622b0e0dce3f48,latest validation-selected best_model.pth
vanilla_lstm,2025,models/vanilla_lstm/seed_2025/best_model.pth,2090037,1f9f86bfba8b486fcc61842b5aee68d668a07cfccc0cf111b3821ebc56b1e90b,latest validation-selected best_model.pth
pi_gru,2025,models/pi_gru/seed_2025/best_model.pth,2477623,0a39e386d4e9bd147bdf2ecaa25cb47e6025578170739aa6458f8c019bb2c323,latest validation-selected best_model.pth
kalmannet,2025,models/kalmannet/seed_2025/best_model.pth,80487,c6800c26b008d0047ad20f38a67c809cc6e3624833eae6cebc7b1c8fcbf57fa2,validation-selected KalmanNet checkpoint
vanilla_gru,2026,models/vanilla_gru/seed_2026/best_model.pth,2121269,b99484e8e03935175209011d635628caac1393984a0bdecae61140ddb18103be,latest validation-selected best_model.pth
vanilla_lstm,2026,models/vanilla_lstm/seed_2026/best_model.pth,2096949,83e9951cfedf4da12072c853842ef91f5e056dccf169eb216d0182fe9fa1f456,latest validation-selected best_model.pth
pi_gru,2026,models/pi_gru/seed_2026/best_model.pth,2495223,f2a0b0e0602b5f0bb56fa1feb0bd172018bdb9fd8ee8970b99f5d077da037010,latest validation-selected best_model.pth
kalmannet,2026,models/kalmannet/seed_2026/best_model.pth,80487,14cbf2754d3c76024c1dff8bdf3636de27e9316fc7abeb64556537a27dae8e00,validation-selected KalmanNet checkpoint
normalization,train,models/norm_params_41d.pkl,6119,eedf7548dd6d805a911b7fc20162c8d75af5bb4bc8ed31f9d951324230b0b39c,frozen deployment artifact
pi_gru_onnx,26,models/pigru/seed_26/model.onnx,855114,e8f810914a6d0e0dd2d47599eea0cb59904ddbbf3ff82e374e2b1048aecf44d2,frozen deployment artifact
